Phi[deg],Theta[deg],dB(GainTotal)
0,-180,-44.4518
10,-180,-44.4518
20,-180,-44.4518
30,-180,-44.4518
40,-180,-44.4518
50,-180,-44.4518
60,-180,-44.4518
70,-180,-44.4518
80,-180,-44.4518
90,-180,-44.4518
100,-180,-44.4518
110,-180,-44.4518
120,-180,-44.4518
130,-180,-44.4518
140,-180,-44.4518
150,-180,-44.4518
160,-180,-44.4518
170,-180,-44.4518
180,-180,-44.4518
190,-180,-44.4518
200,-180,-44.4518
210,-180,-44.4518
220,-180,-44.4518
230,-180,-44.4518
240,-180,-44.4518
250,-180,-44.4518
260,-180,-44.4518
270,-180,-44.4518
280,-180,-44.4518
290,-180,-44.4518
300,-180,-44.4518
310,-180,-44.4518
320,-180,-44.4518
330,-180,-44.4518
340,-180,-44.4518
350,-180,-44.4518
360,-180,-44.4518
0,-170,-16.0407
10,-170,-16.0068
20,-170,-15.9829
30,-170,-15.9818
40,-170,-16.0117
50,-170,-16.0731
60,-170,-16.1571
70,-170,-16.2464
80,-170,-16.3199
90,-170,-16.3585
100,-170,-16.3512
110,-170,-16.2979
120,-170,-16.2088
130,-170,-16.099
140,-170,-15.983
150,-170,-15.8707
160,-170,-15.7662
170,-170,-15.6696
180,-170,-15.58
190,-170,-15.4995
200,-170,-15.434
210,-170,-15.3922
220,-170,-15.3827
230,-170,-15.4109
240,-170,-15.4756
250,-170,-15.5693
260,-170,-15.6794
270,-170,-15.7912
280,-170,-15.8917
290,-170,-15.9728
300,-170,-16.032
310,-170,-16.0712
320,-170,-16.0935
330,-170,-16.101
340,-170,-16.0938
350,-170,-16.0725
360,-170,-16.0407
0,-160,-10.0039
10,-160,-9.88325
20,-160,-9.75823
30,-160,-9.67067
40,-160,-9.65107
50,-160,-9.70776
60,-160,-9.82515
70,-160,-9.96935
80,-160,-10.099
90,-160,-10.1782
100,-160,-10.1875
110,-160,-10.1293
120,-160,-10.0251
130,-160,-9.90587
140,-160,-9.79887
150,-160,-9.71815
160,-160,-9.6609
170,-160,-9.6115
180,-160,-9.55175
190,-160,-9.47299
200,-160,-9.38362
210,-160,-9.30654
220,-160,-9.26803
230,-160,-9.28515
240,-160,-9.3585
250,-160,-9.47293
260,-160,-9.60423
270,-160,-9.72828
280,-160,-9.82901
290,-160,-9.90264
300,-160,-9.95662
310,-160,-10.0032
320,-160,-10.05
330,-160,-10.0919
340,-160,-10.1106
350,-160,-10.0845
360,-160,-10.0039
0,-150,-6.15939
10,-150,-5.9664
20,-150,-5.75606
30,-150,-5.59633
40,-150,-5.53234
50,-150,-5.5719
60,-150,-5.68808
70,-150,-5.83466
80,-150,-5.96618
90,-150,-6.05151
100,-150,-6.07659
110,-150,-6.04309
120,-150,-5.96816
130,-150,-5.88125
140,-150,-5.81313
150,-150,-5.78208
160,-150,-5.78527
170,-150,-5.79987
180,-150,-5.79441
190,-150,-5.74738
200,-150,-5.66345
210,-150,-5.57372
220,-150,-5.51673
230,-150,-5.5145
240,-150,-5.56186
250,-150,-5.63424
260,-150,-5.70519
270,-150,-5.76065
280,-150,-5.80224
290,-150,-5.84252
300,-150,-5.89818
310,-150,-5.98226
320,-150,-6.09368
330,-150,-6.20876
340,-150,-6.28382
350,-150,-6.27366
360,-150,-6.15939
0,-140,-3.01751
10,-140,-2.83553
20,-140,-2.64526
30,-140,-2.51006
40,-140,-2.46613
50,-140,-2.50979
60,-140,-2.60539
70,-140,-2.70888
80,-140,-2.79029
90,-140,-2.83907
100,-140,-2.85564
110,-140,-2.84445
120,-140,-2.81339
130,-140,-2.77476
140,-140,-2.74438
150,-140,-2.73834
160,-140,-2.76446
170,-140,-2.81039
180,-140,-2.84488
190,-140,-2.84105
200,-140,-2.80185
210,-140,-2.75969
220,-140,-2.74764
230,-140,-2.77157
240,-140,-2.80793
250,-140,-2.82393
260,-140,-2.80101
270,-140,-2.74529
280,-140,-2.68179
290,-140,-2.64333
300,-140,-2.66037
310,-140,-2.74778
320,-140,-2.88986
330,-140,-3.03847
340,-140,-3.13275
350,-140,-3.12818
360,-140,-3.01751
0,-130,-0.617912
10,-130,-0.505639
20,-130,-0.407692
30,-130,-0.371873
40,-130,-0.410622
50,-130,-0.499948
60,-130,-0.604709
70,-130,-0.697769
80,-130,-0.759843
90,-130,-0.778064
100,-130,-0.75396
110,-130,-0.70777
120,-130,-0.663107
130,-130,-0.624001
140,-130,-0.579341
150,-130,-0.535892
160,-130,-0.521604
170,-130,-0.541076
180,-130,-0.559318
190,-130,-0.548566
200,-130,-0.532222
210,-130,-0.563688
220,-130,-0.665215
230,-130,-0.802312
240,-130,-0.915032
250,-130,-0.959175
260,-130,-0.922058
270,-130,-0.816014
280,-130,-0.66821
290,-130,-0.520321
300,-130,-0.426316
310,-130,-0.426288
320,-130,-0.510654
330,-130,-0.620811
340,-130,-0.692263
350,-130,-0.690846
360,-130,-0.617912
0,-120,0.815977
10,-120,0.896357
20,-120,0.961089
30,-120,0.944101
40,-120,0.839564
50,-120,0.69387
60,-120,0.550343
70,-120,0.434813
80,-120,0.370861
90,-120,0.371551
100,-120,0.427236
110,-120,0.509378
120,-120,0.589038
130,-120,0.663691
140,-120,0.753183
150,-120,0.84453
160,-120,0.890043
170,-120,0.890326
180,-120,0.909065
190,-120,0.984189
200,-120,1.05785
210,-120,1.02414
220,-120,0.842142
230,-120,0.577913
240,-120,0.340045
250,-120,0.200632
260,-120,0.173124
270,-120,0.240095
280,-120,0.387042
290,-120,0.595247
300,-120,0.809338
310,-120,0.950593
320,-120,0.978614
330,-120,0.919175
340,-120,0.83493
350,-120,0.789061
360,-120,0.815977
0,-110,1.50673
10,-110,1.61114
20,-110,1.73566
30,-110,1.77294
40,-110,1.68256
50,-110,1.51391
60,-110,1.35559
70,-110,1.27995
80,-110,1.29649
90,-110,1.34757
100,-110,1.3739
110,-110,1.37472
120,-110,1.39878
130,-110,1.48007
140,-110,1.59621
150,-110,1.67742
160,-110,1.6728
170,-110,1.62589
180,-110,1.63759
190,-110,1.76098
200,-110,1.93261
210,-110,2.00422
220,-110,1.87684
230,-110,1.59804
240,-110,1.31386
250,-110,1.14324
260,-110,1.09574
270,-110,1.11028
280,-110,1.15916
290,-110,1.2798
300,-110,1.49437
310,-110,1.7295
320,-110,1.86028
330,-110,1.81961
340,-110,1.65954
350,-110,1.51962
360,-110,1.50673
0,-100,1.85978
10,-100,1.95356
20,-100,2.12762
30,-100,2.26987
40,-100,2.26843
50,-100,2.13354
60,-100,2.01026
70,-100,2.02972
80,-100,2.16289
90,-100,2.26492
100,-100,2.2285
110,-100,2.08588
120,-100,1.9927
130,-100,2.05329
140,-100,2.1764
150,-100,2.19688
160,-100,2.08195
170,-100,1.94706
180,-100,1.90478
190,-100,1.99814
200,-100,2.2146
210,-100,2.42537
220,-100,2.45509
230,-100,2.28166
240,-100,2.06417
250,-100,1.96684
260,-100,1.98836
270,-100,2.00639
280,-100,1.94741
290,-100,1.88018
300,-100,1.94989
310,-100,2.17473
320,-100,2.36886
330,-100,2.34506
340,-100,2.12706
350,-100,1.91606
360,-100,1.85978
0,-90,2.00168
10,-90,2.0305
20,-90,2.2033
30,-90,2.4299
40,-90,2.52709
50,-90,2.4463
60,-90,2.3478
70,-90,2.39538
80,-90,2.55093
90,-90,2.6421
100,-90,2.55568
110,-90,2.35293
120,-90,2.24191
130,-90,2.34009
140,-90,2.4881
150,-90,2.45745
160,-90,2.2414
170,-90,2.02048
180,-90,1.91613
190,-90,1.95559
200,-90,2.17266
210,-90,2.46668
220,-90,2.60633
