"Freq [GHz]","Theta [deg]","Phi [deg]","dB(GainPhi) []","dB(GainTheta) []"
10.9,-90.0000000000002,0,-43.9139070587822,2.0015688633643
10.9,-90.0000000000002,10,-45.9208590618638,2.03042779066069
10.9,-90.0000000000002,20,-50.5598257941095,2.20328071589592
10.9,-90.0000000000002,30,-53.0203846277918,2.42989042177884
10.9,-90.0000000000002,40,-55.8665486202289,2.52708457285022
10.9,-90.0000000000002,50,-44.9676208767165,2.44622507582983
10.9,-90.0000000000002,60,-40.1458832978097,2.34755909887587
10.9,-90.0000000000002,70,-41.1224056994459,2.39518264578431
10.9,-90.0000000000002,80,-47.9709390813596,2.55088901560161
10.9,-90.0000000000002,90,-60.692553391649,2.64210158500693
10.9,-90.0000000000002,100,-47.4963958707954,2.55563599974909
10.9,-90.0000000000002,110,-44.00054594295,2.35282727699057
10.9,-90.0000000000002,120,-43.3626695645209,2.24179057625368
10.9,-90.0000000000002,130,-43.5822172752201,2.33998053434999
10.9,-90.0000000000002,140,-44.9250483801056,2.48801929191452
10.9,-90.0000000000002,150,-48.1930796549666,2.45741473590174
10.9,-90.0000000000002,160,-49.7890857432253,2.24137412940693
10.9,-90.0000000000002,170,-47.5962048924335,2.02043406594382
10.9,-90.0000000000002,180,-45.3817858103844,1.91604915772894
10.9,-90.0000000000002,190,-42.6924777590723,1.9554403764209
10.9,-90.0000000000002,200,-39.7078727973348,2.17238109425743
10.9,-90.0000000000002,210,-40.4973020770196,2.46646522037337
10.9,-90.0000000000002,220,-49.3145526503607,2.60630117812029
10.9,-90.0000000000002,230,-41.6722002113367,2.51830120639519
10.9,-90.0000000000002,240,-42.3906422673437,2.36935194778612
10.9,-90.0000000000002,250,-48.0764461810014,2.34581974753882
10.9,-90.0000000000002,260,-46.3466543291532,2.43401243335326
10.9,-90.0000000000002,270,-51.1974265851325,2.47361850549542
10.9,-90.0000000000002,280,-51.6524590687809,2.35865622806073
10.9,-90.0000000000002,290,-46.5744129166176,2.16209422275597
10.9,-90.0000000000002,300,-49.1398097180786,2.10071535571052
10.9,-90.0000000000002,310,-56.1428161121482,2.28257392333863
10.9,-90.0000000000002,320,-54.7713096147531,2.51819372448192
10.9,-90.0000000000002,330,-60.7580316726071,2.54599615994361
10.9,-90.0000000000002,340,-57.2979010754402,2.3449199194729
10.9,-90.0000000000002,350,-47.3874395259993,2.11366028821453
10.9,-90.0000000000002,360,-43.9139070587822,2.0015688633643
