"Freq [GHz]","dB(S(1,1)) []"
9,-1.63012625929143
9.02,-1.66971060153099
9.04,-1.71034094506693
9.06,-1.75204574942208
9.08,-1.79485423473143
9.1,-1.83879640290441
9.12,-1.88390305957962
9.14,-1.93020583691061
9.16,-1.97773721722272
9.18,-2.02653055758212
9.2,-2.07662011531957
9.22,-2.1280410745523
9.24,-2.18082957374879
9.26,-2.23502273438212
9.28,-2.29065869071862
9.3,-2.34777662078912
9.32,-2.40641677859114
9.34,-2.46662052757066
9.36,-2.52843037543231
9.38,-2.59189001032712
9.4,-2.6570443384664
9.42,-2.72393952320946
9.44,-2.79262302567195
9.46,-2.86314364689914
9.48,-2.93555157164591
9.5,-3.00989841380129
9.52,-3.08623726349012
9.54,-3.16462273587794
9.56,-3.24511102169619
9.58,-3.32775993949413
9.6,-3.41262898960967
9.62,-3.49977940983415
9.64,-3.58927423272391
9.66,-3.68117834448499
9.68,-3.77555854532343
9.7,-3.8724836111129
9.72,-3.9720243561806
9.74,-4.07425369695073
9.76,-4.17924671610914
9.78,-4.28708072686022
9.8,-4.39783533673534
9.82,-4.51159251027433
9.84,-4.62843662973629
9.86,-4.74845455279282
9.88,-4.87173566591267
9.9,-4.99837193184839
9.92,-5.12845792927548
9.94,-5.26209088219665
9.96,-5.3993706761939
9.98,-5.54039985796811
10,-5.68528361382704
10.02,-5.83412972183771
10.04,-5.98704847121441
10.06,-6.14415254112523
10.08,-6.30555682941626
10.1,-6.47137821971226
10.12,-6.64173527287736
10.14,-6.81674782582105
10.16,-6.99653647700087
10.18,-7.18122193357541
10.2,-7.3709241898424
10.22,-7.56576150017533
10.24,-7.76584910193448
10.26,-7.97129763453349
10.28,-8.1822111897171
10.3,-8.39868491485879
10.32,-8.62080207541853
10.34,-8.8486304643345
10.36,-9.08221802485221
10.38,-9.32158752906457
10.4,-9.56673012746905
10.42,-9.8175975558334
10.44,-10.0740927560536
10.46,-10.3360586401118
10.48,-10.6032647051084
10.5,-10.8753911996184
10.52,-11.152010557922
10.54,-11.4325658744405
10.56,-11.716346307673
10.58,-12.002459510048
10.6,-12.289801513795
10.62,-12.577025004992
10.64,-12.8625076293383
10.66,-13.1443229210317
10.68,-13.4202176207225
10.7,-13.6876004688208
10.72,-13.9435488303971
10.74,-14.1848403753733
10.76,-14.4080169825598
10.78,-14.6094864294776
10.8,-14.7856637100247
10.82,-14.9331478013109
10.84,-15.0489219360463
10.86,-15.1305574734748
10.88,-15.1763956884977
10.9,-15.1856807340827
10.92,-15.1586221908087
10.94,-15.0963765028717
10.96,-15.0009505162936
10.98,-14.8750433282598
11,-14.7218511615886
11.02,-14.5448622449865
11.04,-14.3476652081143
11.06,-14.1337874085839
11.08,-13.9065714793031
11.1,-13.6690912792002
11.12,-13.4241034348659
11.14,-13.1740279512914
11.16,-12.9209505447066
11.18,-12.6666397868462
11.2,-12.412573254277
11.22,-12.1599682026644
11.24,-11.9098135565493
11.26,-11.6629010820163
11.28,-11.4198544488062
11.3,-11.1811555005001
11.32,-10.9471674719438
11.34,-10.7181551645662
11.36,-10.4943022524972
11.38,-10.2757259785483
11.4,-10.0624895347578
11.42,-9.8546124260508
11.44,-9.65207910071323
11.46,-9.45484610664825
11.48,-9.26284800347702
11.5,-9.07600223096769
11.52,-8.89421310606922
11.54,-8.71737509505203
11.56,-8.54537548436302
11.58,-8.37809655386864
11.6,-8.21541733904721
11.62,-8.05721505415736
11.64,-7.90336623615939
11.66,-7.75374765890552
11.68,-7.60823705855401
11.7,-7.46671370404793
11.72,-7.32905884059777
11.74,-7.19515602922338
11.76,-7.06489140137189
11.78,-6.93815384429299
11.8,-6.81483513009839
11.82,-6.69482999915991
11.84,-6.57803620662376
11.86,-6.46435453927077
11.88,-6.35368880867397
11.9,-6.24594582554927
11.92,-6.14103535932391
11.94,-6.038870086227
11.96,-5.93936552861172
11.98,-5.84243998772671
12,-5.74801447174849
