"Freq [GHz]","VSWR(1) []"
9,10.6879686899676
9.02,10.4360850273623
9.04,10.1897073242892
9.06,9.94873606386634
9.08,9.71307298410227
9.1,9.48262106616143
9.12,9.25728452366844
9.14,9.03696879301207
9.16,8.82158052460663
9.18,8.61102757506534
9.2,8.40521900023758
9.22,8.20406504905971
9.24,8.00747715816696
9.26,7.81536794721202
9.28,7.627651214835
9.3,7.44424193522795
9.32,7.26505625523696
9.34,7.09001149194446
9.36,6.91902613067466
9.38,6.75201982336576
9.4,6.58891338725355
9.42,6.42962880381295
9.44,6.27408921790533
9.46,6.12221893708274
9.48,5.9739434310022
9.5,5.82918933090712
9.52,5.68788442913639
9.54,5.54995767862544
9.56,5.41533919236901
9.58,5.28396024281908
9.6,5.15575326119802
9.62,5.03065183671163
9.64,4.90859071565369
9.66,4.78950580039965
9.68,4.67333414829446
9.7,4.56001397044639
9.72,4.44948463044734
9.74,4.34168664304749
9.76,4.23656167282188
9.78,4.13405253287556
9.8,4.03410318364391
9.82,3.93665873185626
9.84,3.8416654297418
9.86,3.74907067457034
9.88,3.65882300863368
9.9,3.57087211978897
9.92,3.48516884270187
9.94,3.40166516094609
9.96,3.32031421013619
9.98,3.2410702822938
10,3.16388883167316
10.02,3.08872648230094
10.04,3.01554103751846
10.06,2.94429149185157
10.08,2.87493804557605
10.1,2.8074421223947
10.12,2.74176639069723
10.14,2.67787478893681
10.16,2.6157325557283
10.18,2.55530626535407
10.2,2.49656386945482
10.22,2.43947474578569
10.24,2.3840097550333
10.26,2.33014130681653
10.28,2.27784343613381
10.3,2.22709189166896
10.32,2.17786423752476
10.34,2.13013997011071
10.36,2.0839006520605
10.38,2.03913006517861
10.4,1.99581438449221
10.42,1.95394237547863
10.44,1.9135056164005
10.46,1.87449874734035
10.48,1.83691974688574
10.5,1.80077023634332
10.52,1.76605580968084
10.54,1.73278638488815
10.56,1.70097656883967
10.58,1.67064602272209
10.6,1.64181980834503
10.62,1.61452868692261
10.64,1.58880933112425
10.66,1.56470439864544
10.68,1.54226240219977
10.7,1.52153729864508
10.72,1.50258771222976
10.74,1.48547570847957
10.76,1.47026505200554
10.78,1.45701891945184
10.8,1.44579710154871
10.82,1.43665281382557
10.84,1.42962933320981
10.86,1.42475676677734
10.88,1.42204931187903
10.9,1.42150335806498
10.92,1.42309669833833
10.94,1.42678897035408
10.96,1.43252326996501
10.98,1.44022871478932
11,1.44982362409874
11.02,1.46121894379596
11.04,1.47432157793758
11.06,1.48903736924917
11.08,1.50527357166021
11.1,1.52294075315075
11.12,1.5419541417659
11.14,1.56223447616182
11.16,1.5837084464499
11.18,1.60630881708907
11.2,1.62997431765214
11.22,1.65464937509268
11.24,1.68028374675306
11.26,1.70683209934012
11.28,1.73425356679173
11.3,1.76251130987555
11.32,1.79157209250919
11.34,1.82140588392462
11.36,1.85198549157564
11.38,1.88328622675451
11.4,1.91528560292738
11.42,1.94796306555773
11.44,1.98129975145551
11.46,2.01527827531142
11.48,2.04988254093388
11.5,2.08509757471819
11.52,2.12090937898345
11.54,2.15730480297275
11.56,2.19427142949815
11.58,2.23179747540659
11.6,2.26987170423423
11.62,2.30848334959813
11.64,2.34762204804257
11.66,2.38727778020966
11.68,2.42744081934156
11.7,2.46810168624321
11.72,2.50925110994321
11.74,2.55087999338424
11.76,2.59297938355859
11.78,2.63554044557615
11.8,2.6785544402159
11.82,2.72201270456659
11.84,2.76590663541061
11.86,2.81022767504624
11.88,2.85496729927983
11.9,2.90011700735082
11.92,2.94566831357996
11.94,2.99161274055462
11.96,3.03794181368603
11.98,3.08464705699133
12,3.13171998996899
