Phi[deg],Theta[deg],dB(GainTotal)
0,-180,-14.3602
10,-180,-14.3602
20,-180,-14.3602
30,-180,-14.3602
40,-180,-14.3602
50,-180,-14.3602
60,-180,-14.3602
70,-180,-14.3602
80,-180,-14.3602
90,-180,-14.3602
100,-180,-14.3602
110,-180,-14.3602
120,-180,-14.3602
130,-180,-14.3602
140,-180,-14.3602
150,-180,-14.3602
160,-180,-14.3602
170,-180,-14.3602
180,-180,-14.3602
190,-180,-14.3602
200,-180,-14.3602
210,-180,-14.3602
220,-180,-14.3602
230,-180,-14.3602
240,-180,-14.3602
250,-180,-14.3602
260,-180,-14.3602
270,-180,-14.3602
280,-180,-14.3602
290,-180,-14.3602
300,-180,-14.3602
310,-180,-14.3602
320,-180,-14.3602
330,-180,-14.3602
340,-180,-14.3602
350,-180,-14.3602
360,-180,-14.3602
0,-170,-14.9639
10,-170,-14.8207
20,-170,-13.7282
30,-170,-12.3857
40,-170,-11.1831
50,-170,-10.2287
60,-170,-9.52439
70,-170,-9.04637
80,-170,-8.77206
90,-170,-8.68795
100,-170,-8.79132
110,-170,-9.08957
120,-170,-9.59782
130,-170,-10.3334
140,-170,-11.3031
150,-170,-12.4689
160,-170,-13.6681
170,-170,-14.4972
180,-170,-14.4313
190,-170,-13.4131
200,-170,-11.9335
210,-170,-10.4348
220,-170,-9.1147
230,-170,-8.03357
240,-170,-7.20176
250,-170,-6.61561
260,-170,-6.26917
270,-170,-6.15778
280,-170,-6.27937
290,-170,-6.6357
300,-170,-7.23402
310,-170,-8.08801
320,-170,-9.21542
330,-170,-10.6245
340,-170,-12.2673
350,-170,-13.9106
360,-170,-14.9639
0,-160,-15.891
10,-160,-15.1209
20,-160,-12.3472
30,-160,-10.086
40,-160,-8.53109
50,-160,-7.48276
60,-160,-6.76935
70,-160,-6.29049
80,-160,-6.00402
90,-160,-5.89747
100,-160,-5.96868
110,-160,-6.22487
120,-160,-6.69427
130,-160,-7.43815
140,-160,-8.55371
150,-160,-10.1639
160,-160,-12.3591
170,-160,-14.7836
180,-160,-15.3165
190,-160,-12.7856
200,-160,-9.70646
210,-160,-7.13442
220,-160,-5.10689
230,-160,-3.53994
240,-160,-2.37212
250,-160,-1.5688
260,-160,-1.1114
270,-160,-0.98826
280,-160,-1.1893
290,-160,-1.70426
300,-160,-2.52603
310,-160,-3.66338
320,-160,-5.16224
330,-160,-7.12335
340,-160,-9.70076
350,-160,-12.9782
360,-160,-15.891
0,-150,-17.083
10,-150,-15.6464
20,-150,-11.5346
30,-150,-8.96441
40,-150,-7.41042
50,-150,-6.3264
60,-150,-5.45822
70,-150,-4.79794
80,-150,-4.3983
90,-150,-4.28105
100,-150,-4.44473
110,-150,-4.87209
120,-150,-5.5271
130,-150,-6.38773
140,-150,-7.51766
150,-150,-9.1068
160,-150,-11.4813
170,-150,-14.954
180,-150,-16.6751
190,-150,-12.3968
200,-150,-8.13785
210,-150,-4.97714
220,-150,-2.57753
230,-150,-0.737091
240,-150,0.645127
250,-150,1.61376
260,-150,2.18237
270,-150,2.35581
280,-150,2.13624
290,-150,1.52238
300,-150,0.516467
310,-150,-0.876612
320,-150,-2.6862
330,-150,-5.01584
340,-150,-8.05412
350,-150,-12.1771
360,-150,-17.083
0,-140,-18.6372
10,-140,-15.7634
20,-140,-10.9754
30,-140,-8.49837
40,-140,-6.9439
50,-140,-5.62806
60,-140,-4.5498
70,-140,-3.8081
80,-140,-3.38041
90,-140,-3.21944
100,-140,-3.32762
110,-140,-3.76027
120,-140,-4.55426
130,-140,-5.66508
140,-140,-7.0207
150,-140,-8.69204
160,-140,-11.0641
170,-140,-15.0588
180,-140,-18.5366
190,-140,-12.4531
200,-140,-7.30507
210,-140,-3.64337
220,-140,-0.87731
230,-140,1.22208
240,-140,2.82625
250,-140,4.00277
260,-140,4.72465
270,-140,4.96578
280,-140,4.72855
290,-140,4.02722
300,-140,2.87844
310,-140,1.28194
320,-140,-0.844323
330,-140,-3.67102
340,-140,-7.28889
350,-140,-12.0239
360,-140,-18.6372
0,-130,-20.6338
10,-130,-16.5248
20,-130,-11.416
30,-130,-8.76947
40,-130,-6.71404
50,-130,-5.12275
60,-130,-4.14535
70,-130,-3.49255
80,-130,-3.06661
90,-130,-2.92232
100,-130,-3.06842
110,-130,-3.46004
120,-130,-4.10742
130,-130,-5.14112
140,-130,-6.69771
150,-130,-8.71707
160,-130,-11.3764
170,-130,-15.9496
180,-130,-21.2776
190,-130,-13.5244
200,-130,-7.51023
210,-130,-3.17203
220,-130,0.0572915
230,-130,2.4123
240,-130,4.22522
250,-130,5.59417
260,-130,6.42409
270,-130,6.67924
280,-130,6.37595
290,-130,5.53592
300,-130,4.22085
310,-130,2.4681
320,-130,0.0897358
330,-130,-3.24763
340,-130,-7.54759
350,-130,-12.8231
360,-130,-20.6338
0,-120,-23.2363
10,-120,-18.5406
20,-120,-12.8263
30,-120,-9.53554
40,-120,-6.76799
50,-120,-5.19681
60,-120,-4.37392
70,-120,-3.32821
80,-120,-2.42323
90,-120,-2.17199
100,-120,-2.60734
110,-120,-3.49523
120,-120,-4.35684
130,-120,-5.18248
140,-120,-6.81846
150,-120,-9.44194
160,-120,-12.6822
170,-120,-18.1637
180,-120,-24.9815
190,-120,-15.6855
200,-120,-8.67431
210,-120,-3.47628
220,-120,0.300669
230,-120,2.94358
240,-120,4.93171
250,-120,6.40131
260,-120,7.26315
270,-120,7.52837
280,-120,7.21302
290,-120,6.29542
300,-120,4.84078
310,-120,2.93256
320,-120,0.247563
330,-120,-3.66786
340,-120,-8.68682
350,-120,-14.6863
360,-120,-23.2363
0,-110,-26.4352
10,-110,-21.0473
20,-110,-14.962
30,-110,-10.8618
40,-110,-7.28071
50,-110,-5.82492
60,-110,-4.91433
70,-110,-3.20801
80,-110,-2.00588
90,-110,-1.73714
100,-110,-2.19933
110,-110,-3.40111
120,-110,-4.82078
130,-110,-5.63655
140,-110,-7.24696
150,-110,-10.7717
160,-110,-14.976
170,-110,-21.4163
180,-110,-29.106
190,-110,-18.467
200,-110,-10.1733
210,-110,-4.1575
220,-110,0.130239
230,-110,3.11671
240,-110,5.24473
250,-110,6.76843
260,-110,7.72117
270,-110,8.06419
280,-110,7.74483
290,-110,6.76557
300,-110,5.23635
310,-110,3.19164
320,-110,0.121614
330,-110,-4.41542
340,-110,-10.0874
350,-110,-17.528
360,-110,-26.4352
0,-100,-29.6831
10,-100,-23.6242
20,-100,-17.1981
30,-100,-12.1694
40,-100,-7.77255
50,-100,-6.32705
60,-100,-5.06174
70,-100,-3.049
80,-100,-2.02374
90,-100,-1.93437
100,-100,-2.22853
110,-100,-3.23732
120,-100,-4.99791
130,-100,-6.15918
140,-100,-7.61131
150,-100,-11.7996
160,-100,-17.1744
170,-100,-24.6074
180,-100,-32.8617
190,-100,-21.8904
200,-100,-11.2191
210,-100,-4.83096
220,-100,-0.205419
230,-100,3.14299
240,-100,5.3724
250,-100,6.93925
260,-100,8.03448
270,-100,8.46071
280,-100,8.09704
290,-100,7.0325
300,-100,5.47922
310,-100,3.33517
320,-100,-0.0978603
330,-100,-5.08675
340,-100,-11.1521
350,-100,-21.3091
360,-100,-29.6831
0,-90,-34.479
10,-90,-24.887
20,-90,-18.1115
30,-90,-12.608
40,-90,-7.99246
50,-90,-6.47051
60,-90,-4.88033
70,-90,-2.86662
80,-90,-2.09731
90,-90,-2.15157
100,-90,-2.29153
110,-90,-3.03555
120,-90,-4.85342
130,-90,-6.48572
140,-90,-7.85115
150,-90,-12.0538
160,-90,-17.9572
170,-90,-26.3445
180,-90,-35.8665
190,-90,-24.6784
200,-90,-11.5449
210,-90,-5.21709
220,-90,-0.41567
230,-90,3.18582
240,-90,5.47089
250,-90,7.03278
260,-90,8.17156
270,-90,8.6095
280,-90,8.21021
290,-90,7.11582
300,-90,5.57042
310,-90,3.35961
320,-90,-0.245484
330,-90,-5.39847
340,-90,-11.7106
350,-90,-24.5597
360,-90,-34.479
0,-80,-33.1371
10,-80,-22.8104
20,-80,-17.1366
30,-80,-12.0121
40,-80,-7.89812
50,-80,-6.35947
60,-80,-4.71805
70,-80,-2.79288
80,-80,-2.07218
90,-80,-2.06727
100,-80,-2.16677
110,-80,-2.86299
120,-80,-4.63132
130,-80,-6.43758
140,-80,-7.86348
150,-80,-11.6005
160,-80,-17.1005
170,-80,-23.9769
180,-80,-33.3711
190,-80,-21.5627
200,-80,-11.2277
210,-80,-5.1028
220,-80,-0.352728
230,-80,3.23073
240,-80,5.52403
250,-80,7.03209
260,-80,8.06858
270,-80,8.45321
280,-80,8.07586
290,-80,7.05383
300,-80,5.52776
310,-80,3.29771
320,-80,-0.150575
330,-80,-5.12301
340,-80,-11.4695
350,-80,-21.8362
360,-80,-33.1371
0,-70,-26.5516
10,-70,-19.9651
20,-70,-14.9995
30,-70,-10.7606
40,-70,-7.48487
50,-70,-6.02215
