"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainPhi) []","dB(GainTheta) []"
10.9,90.0000000000002,-180,-14.363213810748,-45.9739848830568
10.9,90.0000000000002,-170,-8.68922662231598,-44.0019738968689
10.9,90.0000000000002,-160,-5.89823902948964,-43.423367277746
10.9,90.0000000000002,-150,-4.28112445126217,-51.7865151434182
10.9,90.0000000000002,-140,-3.22008019754263,-41.5473610232909
10.9,90.0000000000002,-130,-2.92408367949529,-36.8302283376037
10.9,90.0000000000002,-120,-2.17239035122947,-42.4818440646647
10.9,90.0000000000002,-110,-1.73741429057922,-43.7694923742019
10.9,90.0000000000002,-100,-1.9344627913674,-48.5517803271355
10.9,90.0000000000002,-90,-2.1517342302546,-46.4472920997956
10.9,90.0000000000002,-80,-2.06763651731018,-42.7544930818518
10.9,90.0000000000002,-70,-2.04269820814028,-48.0373496751864
10.9,90.0000000000002,-60,-2.40823933485988,-53.4234420777587
10.9,90.0000000000002,-50,-2.92580462562524,-50.4835811951063
10.9,90.0000000000002,-40,-3.36331764994592,-52.4110300086069
10.9,90.0000000000002,-30,-4.55873657432883,-48.5637023853433
10.9,90.0000000000002,-20,-6.38787969579077,-41.2436429324079
10.9,90.0000000000002,-10,-9.21773871676595,-44.5206756996133
10.9,90.0000000000002,0,-13.9626445241092,-46.1764150962363
10.9,90.0000000000002,10,-5.94452792487513,-38.5531213805135
10.9,90.0000000000002,20,-0.646220775287435,-37.6771681603132
10.9,90.0000000000002,30,2.52730978989002,-37.5425875236874
10.9,90.0000000000002,40,5.02814441022758,-38.2255600943674
10.9,90.0000000000002,50,6.70314950215591,-37.7433692344862
10.9,90.0000000000002,60,7.49582203544433,-43.1505964092731
10.9,90.0000000000002,70,8.0306988690278,-47.288998077233
10.9,90.0000000000002,80,8.45319656665607,-47.8399320252107
10.9,90.0000000000002,90,8.60949879136754,-55.7484860604512
10.9,90.0000000000002,100,8.46070931441147,-53.569979154502
10.9,90.0000000000002,110,8.06417615117865,-45.7690456580523
10.9,90.0000000000002,120,7.52835466550456,-47.5347133281635
10.9,90.0000000000002,130,6.679233052491,-49.1808234143973
10.9,90.0000000000002,140,4.96569325012632,-41.7906015845231
10.9,90.0000000000002,150,2.35579309809886,-50.9149495464625
10.9,90.0000000000002,160,-0.988661577402404,-41.332506561425
10.9,90.0000000000002,170,-6.16060659734803,-38.0271322786191
10.9,90.0000000000002,180,-14.363213810748,-45.9739848830567
