"Freq [GHz]","Theta [deg]","Phi [deg]","dB(GainPhi) []","dB(GainTheta) []"
10.9,-90.0000000000002,0,-35.9656014651219,-39.8570615219266
10.9,-90.0000000000002,10,-24.9080030596999,-48.0508635035231
10.9,-90.0000000000002,20,-18.1832852288935,-35.9619782427884
10.9,-90.0000000000002,30,-12.616508535707,-39.7116035547942
10.9,-90.0000000000002,40,-7.99264996836147,-51.6229277860168
10.9,-90.0000000000002,50,-6.47097476393834,-46.1757310147814
10.9,-90.0000000000002,60,-4.8807506385995,-44.9824530765119
10.9,-90.0000000000002,70,-2.86682154195599,-46.1726721587332
10.9,-90.0000000000002,80,-2.09745769392472,-46.6823794499968
10.9,-90.0000000000002,90,-2.15173423025459,-46.4472920997954
10.9,-90.0000000000002,100,-2.29153953613094,-60.7932467496807
10.9,-90.0000000000002,110,-3.03583914834519,-44.7795288644243
10.9,-90.0000000000002,120,-4.85382274223947,-45.170218662187
10.9,-90.0000000000002,130,-6.48596892835787,-48.8865272202785
10.9,-90.0000000000002,140,-7.85223230344552,-43.8910528274179
10.9,-90.0000000000002,150,-12.0537754902585,-64.6723473619946
10.9,-90.0000000000002,160,-17.9900518088451,-39.1876539737444
10.9,-90.0000000000002,170,-26.385156805148,-46.6558553667827
10.9,-90.0000000000002,180,-36.6223156448049,-43.8323943668404
10.9,-90.0000000000002,190,-24.711012008639,-45.9330384958804
10.9,-90.0000000000002,200,-11.5460026114734,-47.6886437856472
10.9,-90.0000000000002,210,-5.21856209447143,-39.9105896844349
10.9,-90.0000000000002,220,-0.41584428334288,-44.3908660110864
10.9,-90.0000000000002,230,3.18572408282397,-43.2128515909259
10.9,-90.0000000000002,240,5.47084080805065,-44.3469537951113
10.9,-90.0000000000002,250,7.03275788477806,-45.9175931372368
10.9,-90.0000000000002,260,8.17153580504558,-44.1080138928307
10.9,-90.0000000000002,270,8.60949879136755,-55.748486060451
10.9,-90.0000000000002,280,8.21019847378842,-48.4285845685494
10.9,-90.0000000000002,290,7.11580277988981,-45.8235306358718
10.9,-90.0000000000002,300,5.57039487849325,-47.1572253009493
10.9,-90.0000000000002,310,3.35958236831927,-47.9988396409589
10.9,-90.0000000000002,320,-0.245574517261561,-47.0697731594341
10.9,-90.0000000000002,330,-5.39853236366162,-53.6255235780746
10.9,-90.0000000000002,340,-11.7124499255438,-45.4267445080858
10.9,-90.0000000000002,350,-24.6005582339203,-44.8452953468373
10.9,-90.0000000000002,360,-35.9656014651218,-39.8570615219265
