"Freq [GHz]","dB(S(1,1)) []"
9.5,-2.73393100110807
9.52,-2.78901635395131
9.54,-2.84532159269285
9.56,-2.90288290379142
9.58,-2.9617380730009
9.6,-3.02192658319035
9.62,-3.08348971929826
9.64,-3.14647068099948
9.66,-3.21091470371443
9.68,-3.27686918864686
9.7,-3.34438384259836
9.72,-3.41351082837576
9.74,-3.48430492668221
9.76,-3.55682371046439
9.78,-3.63112773277807
9.8,-3.70728072933253
9.82,-3.78534983698181
9.84,-3.86540582954826
9.86,-3.94752337249238
9.88,-4.03178129808224
9.9,-4.11826290286753
9.92,-4.20705626942688
9.94,-4.29825461453328
9.96,-4.39195666607048
9.98,-4.48826707123179
10,-4.58729683874147
10.02,-4.68916381805222
10.04,-4.79399321868742
10.06,-4.90191817310549
10.08,-5.01308034665461
10.1,-5.12763059834495
10.12,-5.24572969626878
10.14,-5.36754909151677
10.16,-5.49327175432745
10.18,-5.6230930759054
10.2,-5.75722183877063
10.22,-5.89588125753865
10.24,-6.03931009052008
10.26,-6.18776382024838
10.28,-6.34151589768807
10.3,-6.50085904002091
10.32,-6.66610656496434
10.34,-6.83759373472972
10.36,-7.0156790688385
10.38,-7.2007455654951
10.4,-7.39320174384727
10.42,-7.5934823811381
10.44,-7.80204876510955
10.46,-8.01938820693226
10.48,-8.24601245482052
10.5,-8.48245450130286
10.52,-8.72926307105238
10.54,-8.98699378793921
10.56,-9.25619561765184
10.58,-9.53739062303096
10.6,-9.83104429763724
10.62,-10.1375226911815
10.64,-10.4570311347369
10.66,-10.7895275560561
10.68,-11.1346011557567
10.7,-11.4913047865199
10.72,-11.8579273460933
10.74,-12.2316923019579
10.76,-12.6083730668351
10.78,-12.9818306771275
10.8,-13.343512289657
10.82,-13.6820097543907
10.84,-13.9828687427546
10.86,-14.2289387256976
10.88,-14.4015908812907
10.9,-14.4829815892749
10.92,-14.4591109379513
10.94,-14.322835791987
10.96,-14.0756639824592
10.98,-13.7275085929644
11,-13.2945217279896
11.02,-12.7959776067318
11.04,-12.2513508482087
11.06,-11.6782967147084
11.08,-11.0916601775618
11.1,-10.5032775010261
11.12,-9.92223962126902
11.14,-9.35534773308953
11.16,-8.80759376943325
11.18,-8.28258362303095
11.2,-7.78287503784586
11.22,-7.31023055909766
11.24,-6.86579818722824
11.26,-6.45023592027662
11.28,-6.06379581844418
11.3,-5.70638104024066
11.32,-5.37758663346983
11.34,-5.07673219883116
11.36,-4.80289206915686
11.38,-4.55492645215317
11.4,-4.33151513337799
11.42,-4.13119388371206
11.44,-3.95239269537782
11.46,-3.79347438054459
11.48,-3.6527718631589
11.5,-3.52862259899484
11.52,-3.41939887205612
11.54,-3.32353313649533
11.56,-3.239538014913
11.58,-3.16602096219353
11.6,-3.10169392078077
11.62,-3.04537851365377
11.64,-2.996007447962
11.66,-2.95262284901666
11.68,-2.91437222985556
11.7,-2.88050274528365
11.72,-2.85035429839749
11.74,-2.82335197593168
11.76,-2.798998196366
11.78,-2.77686486821634
11.8,-2.75658577910755
11.82,-2.7378493707941
11.84,-2.72039200150369
11.86,-2.70399175416181
11.88,-2.68846281603404
11.9,-2.67365043070113
11.92,-2.65942640562848
11.94,-2.64568514656359
11.96,-2.63234018238979
11.98,-2.61932113985169
12,-2.60657112588792
12.02,-2.59404447546034
12.04,-2.58170482420097
12.06,-2.56952346747367
12.08,-2.55747797023812
12.1,-2.54555099515925
12.12,-2.53372931954775
12.14,-2.52200301481792
12.16,-2.51036476512156
12.18,-2.49880930460594
12.2,-2.48733295531727
12.22,-2.47593325011429
12.24,-2.46460862706632
12.26,-2.45335818369238
12.28,-2.44218148106384
12.3,-2.43107838925756
12.32,-2.42004896692582
12.34,-2.40909336886121
12.36,-2.39821177639605
12.38,-2.38740434630357
12.4,-2.37667117457757
12.42,-2.36601227207323
12.44,-2.35542754950728
12.46,-2.34491680975249
12.48,-2.33447974573095
12.5,-2.3241159425211
